date	region	fips	infections	deaths
2020-04-29	East of England	9	13184	2673
2020-04-30	East Midlands	1	9148	1764
2020-04-30	North West	2	24711	3980
2020-04-30	North East	3	9861	1323
2020-04-30	London	4	27916	5465
2020-04-30	Yorkshire and The Humber	5	13768	2098
2020-04-30	West Midlands	6	15719	3311
2020-04-30	South East	7	15719	3367
2020-04-30	South West	8	8049	1317
2020-04-30	East of England	9	13607	2738
2020-05-01	East Midlands	1	9441	1804
2020-05-01	North West	2	25436	4053
2020-05-01	North East	3	10133	1362
2020-05-01	London	4	28270	5507
2020-05-01	Yorkshire and The Humber	5	14388	2154
2020-05-01	West Midlands	6	16191	3377
2020-05-01	South East	7	16191	3442
2020-05-01	South West	8	8313	1329
2020-05-01	East of England	9	14099	2810
2020-05-02	East Midlands	1	9640	1837
2020-05-02	North West	2	25849	4131
2020-05-02	North East	3	10316	1402
2020-05-02	London	4	28517	5559
2020-05-02	Yorkshire and The Humber	5	14772	2210
2020-05-02	West Midlands	6	16510	3425
2020-05-02	South East	7	16510	3498
2020-05-02	South West	8	8523	1352
2020-05-02	East of England	9	14401	2848
2020-05-03	East Midlands	1	9812	1877
2020-05-03	North West	2	26341	4208
2020-05-03	North East	3	10477	1431
2020-05-03	London	4	28685	5602
2020-05-03	Yorkshire and The Humber	5	15156	2256
2020-05-03	West Midlands	6	16809	3471
2020-05-03	South East	7	16809	3530
2020-05-03	South West	8	8700	1372
2020-05-03	East of England	9	14717	2902
2020-05-04	East Midlands	1	10048	1919
2020-05-04	North West	2	26767	4284
2020-05-04	North East	3	10709	1459
2020-05-04	London	4	28934	5639
2020-05-04	Yorkshire and The Humber	5	15506	2310
2020-05-04	West Midlands	6	17046	3518
2020-05-04	South East	7	17046	3590
2020-05-04	South West	8	8866	1401
2020-05-04	East of England	9	15109	2938
2020-05-05	East Midlands	1	10332	1958
2020-05-05	North West	2	27344	4346
2020-05-05	North East	3	10961	1486
2020-05-05	London	4	29151	5673
2020-05-05	Yorkshire and The Humber	5	15947	2361
2020-05-05	West Midlands	6	17364	3565
2020-05-05	South East	7	17364	3641
2020-05-05	South West	8	9038	1432
2020-05-05	East of England	9	15438	2986
2020-05-06	East Midlands	1	10665	1993
